description,hashtags,likes,comments,reposts,type,links/tags,link
"Google has developed a quantum computer that instantly performs calculations that would take the current best supercomputers 47 years, in a breakthrough meant to establish beyond doubt that experimental machines can outperform conventional rivals.\n\n“Y2Q” - the day bad actors will be able to break today’s encryption is almost here.\n\nQuantropi Inc.’s TrUE quantum-secure cryptography platform QiSpace™ and Quantum Entropy Services protects public and private data and communications from the looming AI and quantum attacks.\n\nLearn more: https://bit.ly/3NzfiJF\n\n#BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard\n\nhttps://bit.ly/3XDT1z8","['#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",29,1,9,Article,"['www.linkedin.com/company/quantropi/', 'bit.ly/3NzfiJF', 'bit.ly/3XDT1z8']",https://www.linkedin.com/feed/update/urn:li:activity:7082394807012089856
"“A quantum cybersecurity agenda is essential for Europe’s economic security in a fast-developing geopolitical environment - it’s in Europe’s hands to act now.” - Andrea G., Lead Digital Policy Analyst at the European Policy Centre.\n\nThe European Union needs a Coordinated Action Plan to facilitate quantum-secure technologies before “Y2Q” - the day bad actors will be able to break today’s encryption.\n\nQuantropi Inc.’s QiSpace™ provides the quantum-secure cryptography and quantum entropy services organizations need to protect their data, devices, and communications from the looming AI and quantum attacks.\n\nLearn more: https://bit.ly/3NzfiJF\n\n#BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard\n\nhttps://bit.ly/3OoPl1i","['#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",20,0,5,Article,"['www.linkedin.com/in/ACoAABVsP6MBgq97Q5ZBDY1KHOoFripe8mq3Ij4', 'www.linkedin.com/company/european-policy-centre/', 'www.linkedin.com/company/european-union/', 'www.linkedin.com/company/quantropi/', 'bit.ly/3NzfiJF', 'bit.ly/3OoPl1i']",https://www.linkedin.com/feed/update/urn:li:activity:7088231288947531776
The Impact of quantum computing is not limited to its unprecedented computational capabilities and ability to perform complex calculations.\n\nRead this article to explore its implications on the cybersecurity sector and its potential to break today’s encryption protocols. \n\nQuantropi Inc.'s TrUE quantum-secure cryptography platform QiSpace™ and Quantum Entropy as a Service (QEaaS) hardens an organization's cryptographic security through True random key generation and quantum-secure distribution over TODAY’s Internet.\n\nLearn more: https://bit.ly/3NzfiJF\n\n#BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard\n\nhttps://bit.ly/3NPiy41,"['#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",19,2,4,Article,"['www.linkedin.com/company/quantropi/', 'bit.ly/3NzfiJF', 'bit.ly/3NPiy41']",https://www.linkedin.com/feed/update/urn:li:activity:7086328622709387265
"We’re here exhibiting at #CANSEC2023 - Canada’s largest global defense and cybersecurity show!\n\nIf you’re here at this International, CADSI member-only event , pop by booth CL31 to understand how TrUE Quantum-Secure cryptography and quantum entropy services protect the IoT connected machines, military vehicles, aircraft and more.\n\nJames Nguyen Randy Kuang Michael Redding Raj Narula, P.Eng. Jay Toth Nick Kuang Alex He Eric Chan\n\n#BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard #IoTSecurity #IoT","['#CANSEC2023', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard', '#IoTSecurity', '#IoT']",23,0,2,Image,"['www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/in/ACoAAAP1QWcBggr9Y39l9Smk_5lIrN1uQaif_a4', 'www.linkedin.com/in/ACoAAAmpFgQBsotecTIHGHTlZEJwpNtDr0x_Zhc', 'www.linkedin.com/in/ACoAAArwYn8B7SC3MrOa8UkxsCmLiZoMUH6c0z0', 'www.linkedin.com/in/ACoAAADnnvgBLTnJHfNvU0yr-xO_vyT2O7VknvE']",https://www.linkedin.com/feed/update/urn:li:activity:7069700754113978368
"Hace unos días en RSA Conference con nuestro amigo Raj Narula, P.Eng. platicando de todas las oportunidades y los riesgos que la computación cuántica presentan!",[],13,0,3,Image,"['www.linkedin.com/company/rsa-conference/', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw']",https://www.linkedin.com/feed/update/urn:li:activity:7075193497904951296
"According to a new Deloitte survey, just over half (50.2%) of responding security professionals say that quantum computing risks must be addressed now.\n\nThese cyber professionals believe their organizations are at risk for “Steal Now Crack Later” attacks (bad actors harvesting encrypted data today and decrypting it later once they get their hands on a quantum computer).\n\nQuantropi Inc.’s QiSpace™ provides the quantum-secure cryptography and quantum entropy services organizations need to protect their data, devices, and communications from the looming AI and quantum attacks.\n\nhttps://ibm.co/449VAeO\n\n#BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",11,2,3,Article,"['www.linkedin.com/company/deloitte/', 'www.linkedin.com/company/quantropi/', 'ibm.co/449VAeO']",https://www.linkedin.com/feed/update/urn:li:activity:7083109774887673856
"We're #hiring a new Senior C Developer in Ottawa, Ontario. Apply today or share this post with your network.",['#hiring'],8,0,3,Video,[],https://www.linkedin.com/feed/update/urn:li:activity:7066042182868049920
"#Qi_Insights By Quantropi Inc.\n\nPost Quantum Cryptography will enhance the security of the Internet of Things (IoT), cloud computing, and blockchain to name a few. And it will have significant implications for financial transactions, military communications, and confidential business communications.\n\nWhat do you think is the most important application of Post Quantum Cryptography?\n\nProtect your data, devices, and systems NOW with Quantropi Inc.’s #QiSpace™.Learn more: https://bit.ly/3NzfiJF\n\n#Quantropi #BringItOn #Y2Q #QuantumReadyBoard #informationsecurity #quantumcomputing #technology","['#Qi_Insights', '#QiSpace™.Learn', '#Quantropi\u202f', '#BringItOn', '#Y2Q', '#QuantumReadyBoard', '#informationsecurity', '#quantumcomputing', '#technology']",5,0,0,Pool,"['www.linkedin.com/company/quantropi/', 'bit.ly/3NzfiJF']",https://www.linkedin.com/feed/update/urn:li:activity:7067519356481490945
"#Qi_Insights By Quantropi Inc. \n\nRecent breakthroughs in AI and machine learning have drastically reduced the quantum capabilities required for “Y2Q” – the day bad actors will be able to break today’s encryption. 𝗬𝟮𝗤 𝗰𝗼𝘂𝗹𝗱 𝗯𝗲 𝗷𝘂𝘀𝘁 𝟭-𝟯 𝘆𝗲𝗮𝗿𝘀 𝗮𝘄𝗮𝘆.  The adoption of Post Quantum Cryptography (PQC) will now depend on the pace of technological advancements and the level of investments from public and private organizations.  \n\nIn your opinion, how likely will PQC be widely adopted in the next three years?\n\n#BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#Qi_Insights\u202fBy\u202fQuantropi', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",3,0,0,Pool,['www.linkedin.com/company/quantropi/'],https://www.linkedin.com/feed/update/urn:li:activity:7060236557005254658
"Getting ready for DAY 4 - Final day, RSA Conference™ 2023, Moscone Center, San Francisco.\n\nHave you had a chance to check out our LIVE demos of the world’s first Quantum Secure Boot Loader, Advanced Quantum Encryption for TLS, and Quantum Entropy Services? If not, don’t miss out on this exclusive, live opportunity. Pop by Booth 𝗡-𝟱𝟮𝟬𝟬 𝗮𝘁 𝘁𝗵𝗲 𝗡𝗼𝗿𝘁𝗵 𝗘𝘅𝗽𝗼 today!\n\nAlso, learn how our TrUE Quantum-Secure Cryptography platform QiSpace™ can protect public and private organizations’ data and communications from HYBRID ATTACK methods that incorporate AI, Machine Learning and future quantum attacks.\n\n#RSAC2023 #BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#RSAC2023', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",31,1,1,Image,"['www.linkedin.com/company/rsa-conference/', 'www.linkedin.com/company/mosconecenter/']",https://www.linkedin.com/feed/update/urn:li:activity:7057376370988855297
"#QuantumCyberBreakfast #RSAC2023\n\nQuantropi Inc. team members Michael Redding, Raj Narula, P.Eng. and Andrew Hammond at the Quantum Cyber Breakfast at RSA Conference™ 2023, Moscone Center.\n\nRemember to pop by the booth – 𝗡-𝟱𝟮𝟬𝟬 𝗡𝗼𝗿𝘁𝗵 𝗘𝘅𝗽𝗼 at 1:30 pm today to watch a LIVE interview with Quantropi Inc. CEO James Nguyen and CTO Michael Redding. - Quantum and AI Cybersecurity threats and solutions.\n\nAnd enter our draw to win an epic 4K Drone pack – 𝗼𝗽𝗲𝗻 𝘁𝗼 𝗥𝗦𝗔 𝗖𝗼𝗻𝗳𝗲𝗿𝗲𝗻𝗰𝗲 𝗮𝘁𝘁𝗲𝗻𝗱𝗲𝗲𝘀 𝗼𝗻𝗹𝘆!\n\n#BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard #JamesNgyuen #MichaelRedding","['#QuantumCyberBreakfast', '#RSAC2023', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard', '#JamesNgyuen', '#MichaelRedding']",13,0,2,Image,"['www.linkedin.com/company/quantropi/', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/in/ACoAAAAGXqIBlyaDAKBBx56o2hNKFWcv7BkR1zk', 'www.linkedin.com/company/rsa-conference/', 'www.linkedin.com/company/mosconecenter/', 'www.linkedin.com/company/quantropi/', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY']",https://www.linkedin.com/feed/update/urn:li:activity:7057078746616360961
"DAY 3 RSA Conference™ 2023, Moscone Center, San Francisco.\n\nAre you attending RSA Conference™ today? Don’t miss out on watching Quantropi Inc. CEO James Nguyen and CTO Michael Redding's interview LIVE - Quantum and AI Cybersecurity threats and solutions - at booth 𝗡-𝟱𝟮𝟬𝟬 𝗮𝘁 𝘁𝗵𝗲 𝗡𝗼𝗿𝘁𝗵 𝗘𝘅𝗽𝗼 today between 1:30 pm and 2 pm.\n\nThen, stick around LIVE demos including a quantum-secure boot loader, data encryption, TLS, quantum entropy services and more! And enter our draw to win an epic 4K Drone pack – 𝗼𝗽𝗲𝗻 𝘁𝗼 𝗥𝗦𝗔 𝗖𝗼𝗻𝗳𝗲𝗿𝗲𝗻𝗰𝗲 𝗮𝘁𝘁𝗲𝗻𝗱𝗲𝗲𝘀 𝗼𝗻𝗹𝘆!\n\n#BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard #JamesNgyuen #MichaelRedding","['#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard', '#JamesNgyuen', '#MichaelRedding']",69,7,2,Image,"['www.linkedin.com/company/rsa-conference/', 'www.linkedin.com/company/mosconecenter/', 'www.linkedin.com/company/quantropi/', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAAhFgEB_WugD6RBz-JEJhYkoLnF8QO7gtY']",https://www.linkedin.com/feed/update/urn:li:activity:7057009401563361280
"#ContestAlert #RSAC2023\n\nAre you attending RSA Conference™ 2023 this week in San Francisco? Want a shot at winning an epic 4K drone pack? \n\nVisit our booth 𝗡-𝟱𝟮𝟬𝟬 𝗮𝘁 𝘁𝗵𝗲 𝗡𝗼𝗿𝘁𝗵 𝗘𝘅𝗽𝗼, talk to a Quantropi Inc. expert, and sign up for a chance to win! This limited-time offer ends at midnight Wednesday, April 26th so hurry!\n\nAnd don’t miss the chance to catch up with our leadership team and watch LIVE demos of QiSpace™ – including a quantum-secure boot loader, data encryption, TLS, quantum entropy services and more.\n\nSee you at the booth!\n\nRaj Narula, P.Eng. James Nguyen Jay Toth \n\n#RSAConference2023 #GiveawayContest #BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard #QReview #Newsletter","['#ContestAlert', '#RSAC2023', '#RSAConference2023', '#GiveawayContest', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard', '#QReview', '#Newsletter']",10,0,2,Image,"['www.linkedin.com/company/rsa-conference/', 'www.linkedin.com/company/quantropi/', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAP1QWcBggr9Y39l9Smk_5lIrN1uQaif_a4']",https://www.linkedin.com/feed/update/urn:li:activity:7056404612928446465
"#RSAC2023 #Breaking Team Quantropi Inc. is ready to welcome you to RSA Conference™ 2023. EXPO runs 3pm - 6pm today (Monday). Pop by booth 𝗡-𝟱𝟮𝟬𝟬 𝗮𝘁 𝘁𝗵𝗲 𝗡𝗼𝗿𝘁𝗵 𝗘𝘅𝗽𝗼 to watch our TrUE Quantum-Secure Cryptography platform QiSpace™ – LIVE – powering use cases for Enterprise and IoT Security including the world's first Quantum-Secure Boot Loader. Plus, enter our draw to win an epic 4K Drone and Amphibious Monster Truck – open to RSA Conference attendees only. See you at the North Expo– booth N-5200!\n\n#RSAC2023 #BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#RSAC2023', '#Breaking', '#RSAC2023', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",43,9,3,Image,"['www.linkedin.com/company/quantropi/', 'www.linkedin.com/company/rsa-conference/']",https://www.linkedin.com/feed/update/urn:li:activity:7056352553332019201
"We're #hiring a new Senior C Developer in Ottawa, Ontario. Apply today or share this post with your network.",['#hiring'],2,0,0,Video,[],https://www.linkedin.com/feed/update/urn:li:activity:7062063623963062273
"We’ve seen a 41% increase in IoT cyberattacks since 2022. This a considerable threat seeing as there will be an estimated 75 billion IoT devices by 2025.\n\nOrganizations need to be crypto-agile and prepare for ""Y2Q"" - the day bad actors will be able to break today’s encryption. \n\nQuantropi Inc.’s QiSpace™ provides the quantum-secure cryptography and quantum entropy services organizations need to protect their data, devices, and communications from the looming AI and quantum attacks.\n\nLearn more: https://bit.ly/3NzfiJF\n\n#BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard\n\nhttps://bit.ly/3DiVg1m","['#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",18,1,5,Article,"['www.linkedin.com/company/quantropi/', 'bit.ly/3NzfiJF', 'bit.ly/3DiVg1m']",https://www.linkedin.com/feed/update/urn:li:activity:7085662775619788802
"#ContestAlert #RSAC2023Attention RSA Conference™ 2023 attendees… \n\nOnly 2 days left to visit Quantropi’s booth 𝗡-𝟱𝟮𝟬𝟬 𝗮𝘁 𝘁𝗵𝗲 𝗡𝗼𝗿𝘁𝗵 𝗘𝘅𝗽𝗼 and sign up for a chance to win our epic 4K Drone Pack. The offer expires tomorrow night, Wednesday, April 26th at midnight.\n\nWhile you are there, ask about our TrUE Quantum-Secure Cryptography platform QiSpace™ and LIVE demos including the world’s first Quantum-Secure Boot Loader.\n\nSee you at the booth!\n\nJames Nguyen Raj Narula, P.Eng. Jay Toth\n\n#RSAC2023 #BringItOn #Quantropi #Y2Q #technology #cryptography #quantumcryptography #Cybersecurity #QuantumSecurityBoard","['#ContestAlert', '#RSAC2023Attention', '#RSAC2023', '#BringItOn', '#Quantropi', '#Y2Q', '#technology', '#cryptography', '#quantumcryptography', '#Cybersecurity', '#QuantumSecurityBoard']",9,0,1,Image,"['www.linkedin.com/company/rsa-conference/', 'www.linkedin.com/in/ACoAAAUtD4kBhsLVGmWhGIkAu9q5Kj1lWZBFH5c', 'www.linkedin.com/in/ACoAAAFfPeoBGOaqFKvQvm9-9B-E_iiy1KX7Ycw', 'www.linkedin.com/in/ACoAAAP1QWcBggr9Y39l9Smk_5lIrN1uQaif_a4']",https://www.linkedin.com/feed/update/urn:li:activity:7056719055298125824
